集計年,産業大分類コード,産業大分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,G,情報通信業,30～34歳,30.5224,89.8803,456.1486
2010,G,情報通信業,35～39歳,37.2032,113.2354,559.6735
2010,G,情報通信業,40～44歳,41.8362,145.4618,647.4963
2010,G,情報通信業,45～49歳,49.6327,163.171,758.7629
2010,G,情報通信業,50～54歳,55.6831,189.1622,857.3592
2010,G,情報通信業,55～59歳,51.45,171.0354,788.4353
2010,G,情報通信業,60～64歳,33.3119,83.1058,482.8487
2010,G,情報通信業,65～69歳,43.1211,38.9575,556.4103
2010,G,情報通信業,70歳～,37.07,39.1438,483.9838
2010,H,運輸業，郵便業,年齢計,26.2135,51.149,365.7116
2010,H,運輸業，郵便業,～19歳,16.9662,20.1597,223.7543
2010,H,運輸業，郵便業,20～24歳,20.0119,39.2522,279.3955
2010,H,運輸業，郵便業,25～29歳,22.6854,46.8867,319.1112
2010,H,運輸業，郵便業,30～34歳,24.9657,49.9372,349.5262
2010,H,運輸業，郵便業,35～39歳,26.9066,52.2314,375.1107
2010,H,運輸業，郵便業,40～44歳,28.7134,53.1836,397.7445
2010,H,運輸業，郵便業,45～49歳,29.5358,62.112,416.5419
2010,H,運輸業，郵便業,50～54歳,29.8854,70.4878,429.1123
2010,H,運輸業，郵便業,55～59歳,26.9774,52.8145,376.5432
2010,H,運輸業，郵便業,60～64歳,21.1796,27.339,281.4942
2010,H,運輸業，郵便業,65～69歳,17.9679,13.4267,229.0415
2010,H,運輸業，郵便業,70歳～,16.9398,10.366,213.6436
2010,I,卸売業，小売業,年齢計,29.6299,73.1691,428.7276
2010,I,卸売業，小売業,～19歳,16.9797,7.8752,211.6312
2010,I,卸売業，小売業,20～24歳,19.5824,27.9312,262.9205
2010,I,卸売業，小売業,25～29歳,22.7358,49.8236,322.6532
2010,I,卸売業，小売業,30～34歳,26.8455,64.9156,387.0622
2010,I,卸売業，小売業,35～39歳,30.0697,79.3192,440.1556
2010,I,卸売業，小売業,40～44歳,33.8601,93.8064,500.1277
2010,I,卸売業，小売業,45～49歳,36.5076,104.2089,542.2997
2010,I,卸売業，小売業,50～54歳,37.2512,98.2704,545.2852
2010,I,卸売業，小売業,55～59歳,36.081,92.027,524.9992
2010,I,卸売業，小売業,60～64歳,25.781,38.245,347.6174
2010,I,卸売業，小売業,65～69歳,23.0368,27.2478,303.689
2010,I,卸売業，小売業,70歳～,22.9558,28.0548,303.5239
2010,J,金融業，保険業,年齢計,36.2758,129.6385,564.9482
2010,J,金融業，保険業,～19歳,15.7931,17.0921,206.6088
2010,J,金融業，保険業,20～24歳,20.2142,43.7301,286.3003
2010,J,金融業，保険業,25～29歳,24.47,87.2649,380.9047
2010,J,金融業，保険業,30～34歳,30.5695,111.7439,478.5783
2010,J,金融業，保険業,35～39歳,36.4876,134.7067,572.5577
2010,J,金融業，保険業,40～44歳,45.0572,174.5644,715.2504
2010,J,金融業，保険業,45～49歳,47.1633,182.576,748.5358
2010,J,金融業，保険業,50～54歳,47.79,181.9755,755.4552
2010,J,金融業，保険業,55～59歳,42.3144,137.8894,645.6628
2010,J,金融業，保険業,60～64歳,30.5089,81.9148,448.0214
2010,J,金融業，保険業,65～69歳,29.3236,75.4361,427.3189
2010,J,金融業，保険業,70歳～,24.4015,53.007,345.8254
2010,K,不動産業，物品賃貸業,年齢計,31.6852,85.6273,465.8501
2010,K,不動産業，物品賃貸業,～19歳,16.8502,10.0005,212.2024
2010,K,不動産業，物品賃貸業,20～24歳,22.4779,31.5789,301.314
2010,K,不動産業，物品賃貸業,25～29歳,25.0788,59.2297,360.1748
2010,K,不動産業，物品賃貸業,30～34歳,28.3211,78.2937,418.1471
2010,K,不動産業，物品賃貸業,35～39歳,33.5692,103.5698,506.3997
2010,K,不動産業，物品賃貸業,40～44歳,37.4435,111.3441,560.6665
2010,K,不動産業，物品賃貸業,45～49歳,38.2674,112.4541,571.6627
2010,K,不動産業，物品賃貸業,50～54歳,40.1498,119.7228,601.5203
2010,K,不動産業，物品賃貸業,55～59歳,37.2743,104.5921,551.884
2010,K,不動産業，物品賃貸業,60～64歳,28.6109,56.8421,400.1728
2010,K,不動産業，物品賃貸業,65～69歳,21.3159,27.8972,283.6883
2010,K,不動産業，物品賃貸業,70歳～,21.0358,25.7035,278.1331
2010,L,学術研究，専門・技術サービス業,年齢計,37.6957,100.1521,552.5005
2010,L,学術研究，専門・技術サービス業,～19歳,17.3757,14.5984,223.1063
2010,L,学術研究，専門・技術サービス業,20～24歳,20.1972,31.0462,273.4124
2010,L,学術研究，専門・技術サービス業,25～29歳,25.1376,57.7779,359.4289
2010,L,学術研究，専門・技術サービス業,30～34歳,31.9651,66.9945,450.5756
2010,L,学術研究，専門・技術サービス業,35～39歳,36.4246,88.3787,525.4741
2010,L,学術研究，専門・技術サービス業,40～44歳,40.9681,124.3331,615.9497
2010,L,学術研究，専門・技術サービス業,45～49歳,47.6056,148.6731,719.94
2010,L,学術研究，専門・技術サービス業,50～54歳,49.8595,166.6187,764.9326
2010,L,学術研究，専門・技術サービス業,55～59歳,48.9787,146.1362,733.8812
2010,L,学術研究，専門・技術サービス業,60～64歳,40.5605,95.7655,582.492
2010,L,学術研究，専門・技術サービス業,65～69歳,38.0604,42.8099,499.535
2010,L,学術研究，専門・技術サービス業,70歳～,20.3987,12.5749,257.3593
2010,M,宿泊業，飲食サービス業,年齢計,23.8737,26.9535,313.4381
2010,M,宿泊業，飲食サービス業,～19歳,15.6809,4.0052,192.1762
2010,M,宿泊業，飲食サービス業,20～24歳,17.6873,14.2626,226.5102
2010,M,宿泊業，飲食サービス業,25～29歳,21.3121,22.991,278.7368
2010,M,宿泊業，飲食サービス業,30～34歳,24.2458,31.6904,322.64
2010,M,宿泊業，飲食サービス業,35～39歳,26.6885,37.8381,358.1001
2010,M,宿泊業，飲食サービス業,40～44歳,27.183,36.2338,362.4293
2010,M,宿泊業，飲食サービス業,45～49歳,28.2,39.8431,378.2435
2010,M,宿泊業，飲食サービス業,50～54歳,27.1606,30.0162,355.9428
2010,M,宿泊業，飲食サービス業,55～59歳,25.0122,25.3353,325.4814
2010,M,宿泊業，飲食サービス業,60～64歳,21.1633,10.7593,264.7195
2010,M,宿泊業，飲食サービス業,65～69歳,20.2975,11.61,255.18
2010,M,宿泊業，飲食サービス業,70歳～,19.6697,5.1003,241.1372
2010,N,生活関連サービス業，娯楽業,年齢計,25.1771,35.7283,337.8537
2010,N,生活関連サービス業，娯楽業,～19歳,17.3457,3.9624,212.1108
2010,N,生活関連サービス業，娯楽業,20～24歳,18.9468,12.5661,239.9281
2010,N,生活関連サービス業，娯楽業,25～29歳,22.1969,27.3481,293.7112
2010,N,生活関連サービス業，娯楽業,30～34歳,26.3301,39.248,355.2097
2010,N,生活関連サービス業，娯楽業,35～39歳,28.6715,49.6889,393.7473
2010,N,生活関連サービス業，娯楽業,40～44歳,30.6292,52.8694,420.4204
2010,N,生活関連サービス業，娯楽業,45～49歳,29.6399,51.931,407.6094
2010,N,生活関連サービス業，娯楽業,50～54歳,30.1449,51.161,412.9003
2010,N,生活関連サービス業，娯楽業,55～59歳,26.3045,40.5048,356.1582
2010,N,生活関連サービス業，娯楽業,60～64歳,21.6968,22.4548,282.8166
2010,N,生活関連サービス業，娯楽業,65～69歳,18.8711,14.416,240.8691
2010,N,生活関連サービス業，娯楽業,70歳～,17.8066,10.9399,224.6192
2010,O,教育，学習支援業,年齢計,37.8801,136.5806,591.1418
2010,O,教育，学習支援業,～19歳,17.2076,4.8057,211.2966
2010,O,教育，学習支援業,20～24歳,19.6745,33.8781,269.9723
2010,O,教育，学習支援業,25～29歳,23.4267,61.5469,342.6667
2010,O,教育，学習支援業,30～34歳,28.995,87.2284,435.1684
2010,O,教育，学習支援業,35～39歳,35.1102,120.0094,541.3313
2010,O,教育，学習支援業,40～44歳,40.831,153.4567,643.4289
2010,O,教育，学習支援業,45～49歳,45.4336,178.5872,723.7903
2010,O,教育，学習支援業,50～54歳,49.7162,200.6102,797.2047
2010,O,教育，学習支援業,55～59歳,52.2533,213.2934,840.333
2010,O,教育，学習支援業,60～64歳,49.9138,205.9863,804.9515
2010,O,教育，学習支援業,65～69歳,49.2893,199.7952,791.2669
2010,O,教育，学習支援業,70歳～,39.1452,128.6082,598.3508
2010,P,医療，福祉,年齢計,27.1781,68.9533,395.0908
2010,P,医療，福祉,～19歳,15.6147,7.3425,194.7187
2010,P,医療，福祉,20～24歳,19.9105,36.802,275.7277
2010,P,医療，福祉,25～29歳,23.0866,59.208,336.247
2010,P,医療，福祉,30～34歳,25.2503,64.7012,367.7052
2010,P,医療，福祉,35～39歳,28.3124,71.7114,411.4604
2010,P,医療，福祉,40～44歳,29.4749,78.8054,432.5041
2010,P,医療，福祉,45～49歳,31.3426,84.5965,460.7075
2010,P,医療，福祉,50～54歳,31.3764,87.0551,463.572
2010,P,医療，福祉,55～59歳,31.0294,85.3983,457.7513
2010,P,医療，福祉,60～64歳,28.7409,66.7479,411.6387
2010,P,医療，福祉,65～69歳,34.7455,58.248,475.1942
2010,P,医療，福祉,70歳～,44.7375,70.6355,607.4858
2010,Q,複合サービス事業,年齢計,27.9315,100.9987,436.1772
2010,Q,複合サービス事業,～19歳,14.9778,18.6527,198.3862
2010,Q,複合サービス事業,20～24歳,17.8353,43.4836,257.5072
2010,Q,複合サービス事業,25～29歳,20.0157,72.7942,312.9823
2010,Q,複合サービス事業,30～34歳,23.2648,82.9793,362.1567
2010,Q,複合サービス事業,35～39歳,26.5525,101.5406,420.1704
2010,Q,複合サービス事業,40～44歳,29.9999,118.7653,478.7643
2010,Q,複合サービス事業,45～49歳,33.5202,131.1953,533.4378
2010,Q,複合サービス事業,50～54歳,35.4491,130.4814,555.8708
2010,Q,複合サービス事業,55～59歳,35.6512,127.8074,555.6214
2010,Q,複合サービス事業,60～64歳,23.5717,49.1544,332.0147
2010,Q,複合サービス事業,65～69歳,21.9937,32.5947,296.5196
2010,Q,複合サービス事業,70歳～,19.2349,14.2423,245.0606
2010,R,サービス業（他に分類されないもの）,年齢計,25.1968,49.4546,351.8165
2010,R,サービス業（他に分類されないもの）,～19歳,16.4908,13.2712,211.1602
2010,R,サービス業（他に分類されないもの）,20～24歳,18.3441,24.553,244.6826
2010,R,サービス業（他に分類されないもの）,25～29歳,21.4176,36.7278,293.7388
2010,R,サービス業（他に分類されないもの）,30～34歳,23.9344,45.1187,332.331
2010,R,サービス業（他に分類されないもの）,35～39歳,26.1528,52.4105,366.2438
2010,R,サービス業（他に分類されないもの）,40～44歳,28.553,62.1117,404.7479
2010,R,サービス業（他に分類されないもの）,45～49歳,29.7758,69.2503,426.5599
2010,R,サービス業（他に分類されないもの）,50～54歳,28.8271,64.4215,410.347
2010,R,サービス業（他に分類されないもの）,55～59歳,27.8851,60.5188,395.1401
2010,R,サービス業（他に分類されないもの）,60～64歳,21.5518,32.6748,291.2962
2010,R,サービス業（他に分類されないもの）,65～69歳,18.9339,16.6705,243.8768
2010,R,サービス業（他に分類されないもの）,70歳～,18.1811,15.3218,233.4946
2011,C,鉱業，採石業，砂利採取業,年齢計,29.9083,92.9545,451.8543
2011,C,鉱業，採石業，砂利採取業,～19歳,16.96,36.68,240.2
2011,C,鉱業，採石業，砂利採取業,20～24歳,19.6962,63.1163,299.4703
2011,C,鉱業，採石業，砂利採取業,25～29歳,24.2553,79.2645,370.3286
2011,C,鉱業，採石業，砂利採取業,30～34歳,25.48,79.0275,384.7875
2011,C,鉱業，採石業，砂利採取業,35～39歳,27.062,75.803,400.547
2011,C,鉱業，採石業，砂利採取業,40～44歳,30.9352,103.1435,474.3659
2011,C,鉱業，採石業，砂利採取業,45～49歳,33.0707,114.6174,511.4656
2011,C,鉱業，採石業，砂利採取業,50～54歳,36.4785,135.5129,573.2549
2011,C,鉱業，採石業，砂利採取業,55～59歳,34.1988,108.7078,519.0936
2011,C,鉱業，採石業，砂利採取業,60～64歳,24.7749,41.5845,338.8838
2011,C,鉱業，採石業，砂利採取業,65～69歳,23.3031,30.2624,309.8997
2011,C,鉱業，採石業，砂利採取業,70歳～,21.2678,17.9933,273.2067
2011,D,建設業,年齢計,31.1637,66.085,440.0498
2011,D,建設業,～19歳,17.8734,8.862,223.3422
2011,D,建設業,20～24歳,20.3767,34.6216,279.1416
2011,D,建設業,25～29歳,23.3034,49.0558,328.6963
2011,D,建設業,30～34歳,26.7244,55.7065,376.3989
2011,D,建設業,35～39歳,30.5584,69.2927,435.9936
2011,D,建設業,40～44歳,33.8775,77.1229,483.6523
2011,D,建設業,45～49歳,35.8388,83.2831,513.3491
2011,D,建設業,50～54歳,37.2799,84.971,532.3302
2011,D,建設業,55～59歳,37.5241,82.4977,532.7873
2011,D,建設業,60～64歳,29.4388,44.8504,398.1155
2011,D,建設業,65～69歳,24.4034,18.5584,311.3995
2011,D,建設業,70歳～,21.4329,14.5167,271.7113
2011,E,製造業,年齢計,28.6836,87.5511,431.7545
2011,E,製造業,～19歳,17.0482,13.525,218.1039
2011,E,製造業,20～24歳,18.8514,44.2065,270.4233
2011,E,製造業,25～29歳,21.9862,61.2804,325.1148
2011,E,製造業,30～34歳,24.7241,72.7175,369.407
2011,E,製造業,35～39歳,28.3159,88.6503,428.4405
2011,E,製造業,40～44歳,31.866,104.7008,487.0922
2011,E,製造業,45～49歳,35.3086,119.9212,543.6243
2011,E,製造業,50～54歳,35.4013,117.1868,542.0018
2011,E,製造業,55～59歳,34.3424,109.7494,521.8587
2011,E,製造業,60～64歳,23.2315,48.332,327.1099
2011,E,製造業,65～69歳,22.3496,27.3221,295.5173
2011,E,製造業,70歳～,22.7568,21.4316,294.513
2011,F,電気・ガス・熱供給・水道業,年齢計,40.0341,167.9558,648.3652
2011,F,電気・ガス・熱供給・水道業,～19歳,17.3175,30.4718,238.2813
2011,F,電気・ガス・熱供給・水道業,20～24歳,20.1675,71.0935,313.1036
2011,F,電気・ガス・熱供給・水道業,25～29歳,26.6251,105.6579,425.1591
2011,F,電気・ガス・熱供給・水道業,30～34歳,32.8117,135.1261,528.8663
2011,F,電気・ガス・熱供給・水道業,35～39歳,37.8058,157.1494,610.8191
2011,F,電気・ガス・熱供給・水道業,40～44歳,44.6666,187.9764,723.9752
2011,F,電気・ガス・熱供給・水道業,45～49歳,50.7792,221.1479,830.4986
2011,F,電気・ガス・熱供給・水道業,50～54歳,53.7083,237.3122,881.8124
2011,F,電気・ガス・熱供給・水道業,55～59歳,50.5091,218.5714,824.6811
2011,F,電気・ガス・熱供給・水道業,60～64歳,26.542,107.7967,426.301
2011,F,電気・ガス・熱供給・水道業,65～69歳,24.8164,70.3044,368.1012
2011,F,電気・ガス・熱供給・水道業,70歳～,21.006,58.8,310.872
2011,G,情報通信業,年齢計,37.0273,111.2826,555.6098
2011,G,情報通信業,～19歳,15.8993,37.2485,228.0402
2011,G,情報通信業,20～24歳,22.2592,30.6517,297.7625
2011,G,情報通信業,25～29歳,25.6022,65.3938,372.6206
2011,G,情報通信業,30～34歳,31.1918,83.8306,458.1327
2011,G,情報通信業,35～39歳,36.461,110.3165,547.849
2011,G,情報通信業,40～44歳,43.4503,142.1154,663.5189
2011,G,情報通信業,45～49歳,49.8673,168.3051,766.7125
2011,G,情報通信業,50～54歳,58.4284,209.6735,910.8144
2011,G,情報通信業,55～59歳,50.0986,157.3995,758.5824
2011,G,情報通信業,60～64歳,35.0632,113.3167,534.0754
2011,G,情報通信業,65～69歳,40.0541,79.682,560.3309
2011,G,情報通信業,70歳～,23.1925,19.9588,298.2688
2011,H,運輸業，郵便業,年齢計,25.8987,51.1369,361.9213
2011,H,運輸業，郵便業,～19歳,17.1895,17.206,223.4798
2011,H,運輸業，郵便業,20～24歳,19.8214,40.4674,278.3248
2011,H,運輸業，郵便業,25～29歳,22.0344,48.3608,312.7741
2011,H,運輸業，郵便業,30～34歳,24.3377,48.0962,340.1485
2011,H,運輸業，郵便業,35～39歳,26.3024,53.3566,368.9858
2011,H,運輸業，郵便業,40～44歳,27.5314,50.3699,380.7467
2011,H,運輸業，郵便業,45～49歳,28.8331,61.1877,407.1846
2011,H,運輸業，郵便業,50～54歳,29.2372,69.1418,419.9887
2011,H,運輸業，郵便業,55～59歳,27.1397,57.2598,382.9365
2011,H,運輸業，郵便業,60～64歳,21.6776,26.2308,286.3624
2011,H,運輸業，郵便業,65～69歳,20.0678,15.586,256.4002
2011,H,運輸業，郵便業,70歳～,20.5206,11.3558,257.6024
2011,I,卸売業，小売業,年齢計,28.9289,73.2901,420.4365
2011,I,卸売業，小売業,～19歳,15.5333,5.3267,191.726
2011,I,卸売業，小売業,20～24歳,19.0705,28.2608,257.1069
2011,I,卸売業，小売業,25～29歳,22.3949,53.3601,322.099
2011,I,卸売業，小売業,30～34歳,25.6236,66.5058,373.9893
2011,I,卸売業，小売業,35～39歳,29.5371,77.9177,432.3631
2011,I,卸売業，小売業,40～44歳,33.4538,91.748,493.1931
2011,I,卸売業，小売業,45～49歳,35.2533,99.4256,522.4648
2011,I,卸売業，小売業,50～54歳,35.9651,103.3897,534.9715
2011,I,卸売業，小売業,55～59歳,35.5878,87.0009,514.055
2011,I,卸売業，小売業,60～64歳,24.5694,39.0755,333.9081
2011,I,卸売業，小売業,65～69歳,21.0453,29.6129,282.1567
2011,I,卸売業，小売業,70歳～,19.8062,21.1413,258.8156
2011,J,金融業，保険業,年齢計,38.9373,139.483,606.7308
2011,J,金融業，保険業,～19歳,15.3667,14.3373,198.7373
2011,J,金融業，保険業,20～24歳,20.7175,44.0452,292.6553
2011,J,金融業，保険業,25～29歳,25.2486,87.7426,390.7256
2011,J,金融業，保険業,30～34歳,33.779,125.4122,530.7606
2011,J,金融業，保険業,35～39歳,40.2742,146.3885,629.6788
2011,J,金融業，保険業,40～44歳,46.6295,184.5044,744.0588
2011,J,金融業，保険業,45～49歳,51.8444,203.6127,825.7456
2011,J,金融業，保険業,50～54歳,48.4331,174.7954,755.9923
2011,J,金融業，保険業,55～59歳,43.6791,145.5647,669.7143
2011,J,金融業，保険業,60～64歳,30.0689,79.0209,439.8477
2011,J,金融業，保険業,65～69歳,31.995,66.4672,450.4072
2011,J,金融業，保険業,70歳～,32.4582,59.9069,449.4056
2011,K,不動産業，物品賃貸業,年齢計,32.56,87.671,478.3915
2011,K,不動産業，物品賃貸業,～19歳,17.354,3.0863,211.3341
2011,K,不動産業，物品賃貸業,20～24歳,21.2986,31.6609,287.2437
2011,K,不動産業，物品賃貸業,25～29歳,24.5334,63.5655,357.9666
2011,K,不動産業，物品賃貸業,30～34歳,28.7263,75.5134,420.2291
2011,K,不動産業，物品賃貸業,35～39歳,33.5378,98.4824,500.9359
2011,K,不動産業，物品賃貸業,40～44歳,38.275,112.4592,571.759
2011,K,不動産業，物品賃貸業,45～49歳,40.6257,123.2395,610.7484
2011,K,不動産業，物品賃貸業,50～54歳,42.1589,128.6715,634.578
2011,K,不動産業，物品賃貸業,55～59歳,40.3914,113.4107,598.1081
2011,K,不動産業，物品賃貸業,60～64歳,27.1121,42.1836,367.5293
2011,K,不動産業，物品賃貸業,65～69歳,21.121,31.5351,284.9876
2011,K,不動産業，物品賃貸業,70歳～,21.6474,30.0115,289.7804
2011,L,学術研究，専門・技術サービス業,年齢計,36.8961,120.3739,563.1273
2011,L,学術研究，専門・技術サービス業,～19歳,16.3004,11.5139,207.1185
2011,L,学術研究，専門・技術サービス業,20～24歳,21.808,42.3449,304.0407
2011,L,学術研究，専門・技術サービス業,25～29歳,25.4673,77.2604,382.8681
2011,L,学術研究，専門・技術サービス業,30～34歳,30.7857,103.7628,473.1909
2011,L,学術研究，専門・技術サービス業,35～39歳,35.0529,113.0941,533.729
2011,L,学術研究，専門・技術サービス業,40～44歳,41.5254,142.2151,640.5195
2011,L,学術研究，専門・技術サービス業,45～49歳,48.4664,167.9473,749.5446
2011,L,学術研究，専門・技術サービス業,50～54歳,51.1063,178.1331,791.4082
2011,L,学術研究，専門・技術サービス業,55～59歳,48.0184,167.8187,744.0394
2011,L,学術研究，専門・技術サービス業,60～64歳,35.9598,92.4341,523.9522
2011,L,学術研究，専門・技術サービス業,65～69歳,30.4714,55.7118,421.3685
2011,L,学術研究，専門・技術サービス業,70歳～,40.0068,45.2909,525.3729
2011,M,宿泊業，飲食サービス業,年齢計,23.8088,30.1926,315.8978
2011,M,宿泊業，飲食サービス業,～19歳,15.2132,3.0946,185.6527
2011,M,宿泊業，飲食サービス業,20～24歳,17.7448,13.7217,226.6594
2011,M,宿泊業，飲食サービス業,25～29歳,20.6135,24.8588,272.2211
2011,M,宿泊業，飲食サービス業,30～34歳,23.6491,34.1895,317.9787
2011,M,宿泊業，飲食サービス業,35～39歳,26.551,41.2224,359.8339
2011,M,宿泊業，飲食サービス業,40～44歳,27.6565,40.393,372.2712
2011,M,宿泊業，飲食サービス業,45～49歳,28.5317,42.1927,384.5728
2011,M,宿泊業，飲食サービス業,50～54歳,27.5548,36.3236,366.9811
2011,M,宿泊業，飲食サービス業,55～59歳,25.0346,29.4838,329.8985
2011,M,宿泊業，飲食サービス業,60～64歳,20.5651,15.1256,261.9067
2011,M,宿泊業，飲食サービス業,65～69歳,19.9206,9.6434,248.6901
2011,M,宿泊業，飲食サービス業,70歳～,18.5557,8.504,231.1728
2011,N,生活関連サービス業，娯楽業,年齢計,25.3346,35.3058,339.3214
2011,N,生活関連サービス業，娯楽業,～19歳,16.9811,4.0634,207.8364
2011,N,生活関連サービス業，娯楽業,20～24歳,18.9338,11.15,238.356
2011,N,生活関連サービス業，娯楽業,25～29歳,21.7265,25.4739,286.1919
2011,N,生活関連サービス業，娯楽業,30～34歳,25.8777,37.5565,348.0894
2011,N,生活関連サービス業，娯楽業,35～39歳,28.8492,48.2225,394.413
2011,N,生活関連サービス業，娯楽業,40～44歳,29.9402,49.5441,408.8263
2011,N,生活関連サービス業，娯楽業,45～49歳,30.2729,52.2398,415.514
2011,N,生活関連サービス業，娯楽業,50～54歳,30.1828,49.6529,411.8461
2011,N,生活関連サービス業，娯楽業,55～59歳,27.4903,43.765,373.6492
2011,N,生活関連サービス業，娯楽業,60～64歳,21.3814,21.4823,278.0586
2011,N,生活関連サービス業，娯楽業,65～69歳,19.4536,13.2353,246.6782
2011,N,生活関連サービス業，娯楽業,70歳～,20.7187,16.6352,265.259
2011,O,教育，学習支援業,年齢計,37.8459,134.6837,588.8341
2011,O,教育，学習支援業,～19歳,14.6342,3.2832,178.893
2011,O,教育，学習支援業,20～24歳,19.6651,36.7313,272.7128
2011,O,教育，学習支援業,25～29歳,23.9321,63.8708,351.0561
2011,O,教育，学習支援業,30～34歳,28.8014,81.6035,427.2199
2011,O,教育，学習支援業,35～39歳,34.9196,111.8971,530.9323
2011,O,教育，学習支援業,40～44歳,39.5371,144.5708,619.0166
2011,O,教育，学習支援業,45～49歳,44.3326,169.5509,701.5422
2011,O,教育，学習支援業,50～54歳,49.2153,198.8168,789.4009
2011,O,教育，学習支援業,55～59歳,51.2904,209.3278,824.8131
2011,O,教育，学習支援業,60～64歳,48.912,198.77,785.7141
2011,O,教育，学習支援業,65～69歳,49.5389,196.9435,791.4105
2011,O,教育，学習支援業,70歳～,35.8103,122.6834,552.4069
2011,P,医療，福祉,年齢計,27.3252,69.771,397.6733
2011,P,医療，福祉,～19歳,15.5851,7.5271,194.5489
2011,P,医療，福祉,20～24歳,20.2858,37.3131,280.7423
2011,P,医療，福祉,25～29歳,22.9419,61.9664,337.2687
2011,P,医療，福祉,30～34歳,25.6634,70.9897,378.9509
2011,P,医療，福祉,35～39歳,28.4203,73.6792,414.7224
2011,P,医療，福祉,40～44歳,30.3544,81.5256,445.7789
