集計年,産業大分類コード,産業大分類名,業種中分類コード,業種中分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,E,製造業,16,化学工業,55～59歳,44.3583,168.179,700.4787
2010,E,製造業,16,化学工業,60～64歳,27.4262,75.4833,404.598
2010,E,製造業,16,化学工業,65～69歳,23.272,17.9866,297.2506
2010,E,製造業,16,化学工業,70歳～,45.2124,9.029,551.5781
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,年齢計,26.7273,62.1219,382.8496
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,～19歳,17.5829,9.7217,220.7166
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,20～24歳,18.2585,32.3969,251.4985
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,25～29歳,21.3053,44.6791,300.3424
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,30～34歳,24.3632,60.4806,352.8396
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,35～39歳,26.994,68.8823,392.8105
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,40～44歳,29.8595,75.3646,433.6784
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,45～49歳,32.1942,77.8267,464.1569
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,50～54歳,32.3393,84.2427,472.3139
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,55～59歳,30.3124,68.2779,432.0265
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,60～64歳,21.4501,31.8164,289.2171
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,65～69歳,21.1043,20.783,274.0342
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,70歳～,16.9661,14.7532,218.3458
2010,E,製造業,19,ゴム製品製造業,年齢計,27.6058,81.1155,412.385
2010,E,製造業,19,ゴム製品製造業,～19歳,16.7182,18.3623,218.9802
2010,E,製造業,19,ゴム製品製造業,20～24歳,18.8468,42.0437,268.2056
2010,E,製造業,19,ゴム製品製造業,25～29歳,21.6922,55.319,315.625
2010,E,製造業,19,ゴム製品製造業,30～34歳,24.2806,66.4497,357.8175
2010,E,製造業,19,ゴム製品製造業,35～39歳,28.0592,82.9279,419.638
2010,E,製造業,19,ゴム製品製造業,40～44歳,31.1519,95.5043,469.3273
2010,E,製造業,19,ゴム製品製造業,45～49歳,31.8458,101.1484,483.2976
2010,E,製造業,19,ゴム製品製造業,50～54歳,33.3823,109.4625,510.0498
2010,E,製造業,19,ゴム製品製造業,55～59歳,34.9625,117.6666,537.217
2010,E,製造業,19,ゴム製品製造業,60～64歳,23.9207,58.4107,345.459
2010,E,製造業,19,ゴム製品製造業,65～69歳,20.3056,18.4522,262.1194
2010,E,製造業,19,ゴム製品製造業,70歳～,17.363,31.186,239.542
2010,E,製造業,21,窯業・土石製品製造業,年齢計,28.3189,68.7502,408.5769
2010,E,製造業,21,窯業・土石製品製造業,～19歳,16.7039,14.9485,215.3958
2010,E,製造業,21,窯業・土石製品製造業,20～24歳,18.6572,40.4043,264.2911
2010,E,製造業,21,窯業・土石製品製造業,25～29歳,21.9803,48.2136,311.977
2010,E,製造業,21,窯業・土石製品製造業,30～34歳,24.4989,57.0653,351.0521
2010,E,製造業,21,窯業・土石製品製造業,35～39歳,28.1657,71.6407,409.6296
2010,E,製造業,21,窯業・土石製品製造業,40～44歳,31.0444,85.7321,458.2646
2010,E,製造業,21,窯業・土石製品製造業,45～49歳,32.282,85.5175,472.9018
2010,E,製造業,21,窯業・土石製品製造業,50～54歳,33.0414,85.0687,481.5649
2010,E,製造業,21,窯業・土石製品製造業,55～59歳,31.4532,73.6434,451.0815
2010,E,製造業,21,窯業・土石製品製造業,60～64歳,23.8002,40.8198,326.4221
2010,E,製造業,21,窯業・土石製品製造業,65～69歳,22.758,17.8426,290.9382
2010,E,製造業,21,窯業・土石製品製造業,70歳～,21.8637,10.5998,272.9637
2010,E,製造業,22,鉄鋼業,年齢計,30.7219,128.9929,497.6555
2010,E,製造業,22,鉄鋼業,～19歳,17.889,30.5706,245.2381
2010,E,製造業,22,鉄鋼業,20～24歳,20.2203,64.2884,306.9316
2010,E,製造業,22,鉄鋼業,25～29歳,23.0662,82.9806,359.7755
2010,E,製造業,22,鉄鋼業,30～34歳,26.8189,103.1999,425.0268
2010,E,製造業,22,鉄鋼業,35～39歳,30.5677,121.7418,488.5546
2010,E,製造業,22,鉄鋼業,40～44歳,35.0138,158.4977,578.6637
2010,E,製造業,22,鉄鋼業,45～49歳,37.3154,170.7159,618.501
2010,E,製造業,22,鉄鋼業,50～54歳,40.4558,206.3155,691.785
2010,E,製造業,22,鉄鋼業,55～59歳,37.5325,170.6981,621.0878
2010,E,製造業,22,鉄鋼業,60～64歳,25.1233,89.7779,391.2574
2010,E,製造業,22,鉄鋼業,65～69歳,30.6521,46.8456,414.6708
2010,E,製造業,22,鉄鋼業,70歳～,21.5852,21.741,280.7629
2010,E,製造業,23,非鉄金属製造業,年齢計,30.7775,88.9424,458.2724
2010,E,製造業,23,非鉄金属製造業,～19歳,17.9128,20.1293,235.0831
2010,E,製造業,23,非鉄金属製造業,20～24歳,19.4419,40.8976,274.2001
2010,E,製造業,23,非鉄金属製造業,25～29歳,22.5927,54.3456,325.4576
2010,E,製造業,23,非鉄金属製造業,30～34歳,25.4838,67.0756,372.8816
2010,E,製造業,23,非鉄金属製造業,35～39歳,29.8321,86.853,444.8378
2010,E,製造業,23,非鉄金属製造業,40～44歳,33.5602,99.9457,502.6683
2010,E,製造業,23,非鉄金属製造業,45～49歳,37.3368,116.5792,564.6206
2010,E,製造業,23,非鉄金属製造業,50～54歳,38.1136,119.9215,577.2842
2010,E,製造業,23,非鉄金属製造業,55～59歳,40.5595,134.2356,620.9495
2010,E,製造業,23,非鉄金属製造業,60～64歳,25.5178,63.2137,369.4274
2010,E,製造業,23,非鉄金属製造業,65～69歳,22.4464,29.2993,298.6556
2010,E,製造業,23,非鉄金属製造業,70歳～,22.9813,71.9125,347.6875
2010,E,製造業,24,金属製品製造業,年齢計,27.5401,59.5708,390.0516
2010,E,製造業,24,金属製品製造業,～19歳,17.0424,6.9234,211.4323
2010,E,製造業,24,金属製品製造業,20～24歳,18.4722,33.3584,255.025
2010,E,製造業,24,金属製品製造業,25～29歳,21.4598,46.6335,304.1516
2010,E,製造業,24,金属製品製造業,30～34歳,24.0098,56.1347,344.2521
2010,E,製造業,24,金属製品製造業,35～39歳,27.0645,59.2267,384.0006
2010,E,製造業,24,金属製品製造業,40～44歳,30.0247,66.1122,426.408
2010,E,製造業,24,金属製品製造業,45～49歳,31.2143,72.8987,447.4702
2010,E,製造業,24,金属製品製造業,50～54歳,34.2875,80.2525,491.7024
2010,E,製造業,24,金属製品製造業,55～59歳,34.0305,80.0344,488.4002
2010,E,製造業,24,金属製品製造業,60～64歳,26.7205,37.5415,358.1878
2010,E,製造業,24,金属製品製造業,65～69歳,23.5473,37.4036,319.9718
2010,E,製造業,24,金属製品製造業,70歳～,23.602,24.8673,308.0918
2010,E,製造業,25,はん用機械器具製造業,年齢計,30.551,96.6685,463.2802
2010,E,製造業,25,はん用機械器具製造業,～19歳,17.0831,17.8332,222.8309
2010,E,製造業,25,はん用機械器具製造業,20～24歳,19.9261,46.2043,285.3171
2010,E,製造業,25,はん用機械器具製造業,25～29歳,22.5314,66.0557,336.432
2010,E,製造業,25,はん用機械器具製造業,30～34歳,25.2206,75.9431,378.5907
2010,E,製造業,25,はん用機械器具製造業,35～39歳,30.2108,93.1476,455.677
2010,E,製造業,25,はん用機械器具製造業,40～44歳,33.7636,112.8558,518.019
2010,E,製造業,25,はん用機械器具製造業,45～49歳,36.6082,127.5366,566.8349
2010,E,製造業,25,はん用機械器具製造業,50～54歳,39.7578,134.1559,611.2496
2010,E,製造業,25,はん用機械器具製造業,55～59歳,38.5952,137.9644,601.1068
2010,E,製造業,25,はん用機械器具製造業,60～64歳,26.1839,70.6918,384.8988
2010,E,製造業,25,はん用機械器具製造業,65～69歳,28.3738,47.5783,388.0638
2010,E,製造業,25,はん用機械器具製造業,70歳～,23.0875,25.5124,302.5618
2010,E,製造業,26,生産用機械器具製造業,年齢計,30.4822,77.8601,443.6466
2010,E,製造業,26,生産用機械器具製造業,～19歳,16.9713,18.6833,222.3389
2010,E,製造業,26,生産用機械器具製造業,20～24歳,18.9752,37.3234,265.0256
2010,E,製造業,26,生産用機械器具製造業,25～29歳,22.1502,51.6147,317.4175
2010,E,製造業,26,生産用機械器具製造業,30～34歳,25.7408,64.3934,373.2829
2010,E,製造業,26,生産用機械器具製造業,35～39歳,29.2571,79.6604,430.7455
2010,E,製造業,26,生産用機械器具製造業,40～44歳,32.7242,86.1497,478.8399
2010,E,製造業,26,生産用機械器具製造業,45～49歳,36.7909,102.8094,544.3005
2010,E,製造業,26,生産用機械器具製造業,50～54歳,38.1606,102.5263,560.4536
2010,E,製造業,26,生産用機械器具製造業,55～59歳,40.7462,107.3419,596.296
2010,E,製造業,26,生産用機械器具製造業,60～64歳,27.7195,53.872,386.5062
2010,E,製造業,26,生産用機械器具製造業,65～69歳,24.2567,27.8847,318.9647
2010,E,製造業,26,生産用機械器具製造業,70歳～,17.4648,26.1179,235.6949
2010,E,製造業,27,業務用機械器具製造業,年齢計,31.3222,89.6581,465.5244
2010,E,製造業,27,業務用機械器具製造業,～19歳,16.4843,16.6033,214.4154
2010,E,製造業,27,業務用機械器具製造業,20～24歳,19.458,39.1016,272.5978
2010,E,製造業,27,業務用機械器具製造業,25～29歳,22.4649,52.2417,321.8203
2010,E,製造業,27,業務用機械器具製造業,30～34歳,25.9165,75.31,386.3075
2010,E,製造業,27,業務用機械器具製造業,35～39歳,29.8369,84.3782,442.4216
2010,E,製造業,27,業務用機械器具製造業,40～44歳,35.2622,107.9212,531.0674
2010,E,製造業,27,業務用機械器具製造業,45～49歳,38.7626,124.7937,589.9445
2010,E,製造業,27,業務用機械器具製造業,50～54歳,41.1511,132.4516,626.2646
2010,E,製造業,27,業務用機械器具製造業,55～59歳,39.207,116.0226,586.507
2010,E,製造業,27,業務用機械器具製造業,60～64歳,26.5575,46.353,365.0435
2010,E,製造業,27,業務用機械器具製造業,65～69歳,28.8248,23.0947,368.9926
2010,E,製造業,27,業務用機械器具製造業,70歳～,16.7977,6.1308,207.7031
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,年齢計,30.0868,87.4427,448.4848
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,～19歳,17.0884,14.9005,219.9612
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,20～24歳,18.5535,33.3128,255.9544
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,25～29歳,21.7949,48.9649,310.5041
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,30～34歳,25.6595,70.0186,377.9327
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,35～39歳,29.1502,85.8873,435.6898
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,40～44歳,33.9777,107.6467,515.3795
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,45～49歳,36.2532,115.7434,550.7823
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,50～54歳,38.7165,118.0327,582.631
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,55～59歳,35.7851,112.7961,542.2178
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,60～64歳,26.6167,63.8474,383.2478
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,65～69歳,28.7774,53.9565,399.2854
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,70歳～,17.2365,20.4176,227.2553
2010,E,製造業,29,電気機械器具製造業,年齢計,30.7663,93.9236,463.1188
2010,E,製造業,29,電気機械器具製造業,～19歳,16.7536,20.968,222.0111
2010,E,製造業,29,電気機械器具製造業,20～24歳,18.8294,40.662,266.6148
2010,E,製造業,29,電気機械器具製造業,25～29歳,22.9169,61.223,336.2262
2010,E,製造業,29,電気機械器具製造業,30～34歳,25.7635,75.4489,384.6113
2010,E,製造業,29,電気機械器具製造業,35～39歳,29.2686,90.3562,441.5789
2010,E,製造業,29,電気機械器具製造業,40～44歳,34.2934,112.9834,524.5042
2010,E,製造業,29,電気機械器具製造業,45～49歳,38.1817,127.872,586.0529
2010,E,製造業,29,電気機械器具製造業,50～54歳,39.4438,128.8931,602.2184
2010,E,製造業,29,電気機械器具製造業,55～59歳,35.8002,111.709,541.3114
2010,E,製造業,29,電気機械器具製造業,60～64歳,27.1386,60.1904,385.8535
2010,E,製造業,29,電気機械器具製造業,65～69歳,21.0938,40.6771,293.8024
2010,E,製造業,29,電気機械器具製造業,70歳～,22.5449,24.1443,294.6835
2010,E,製造業,30,情報通信機械器具製造業,年齢計,31.9999,104.7343,488.7331
2010,E,製造業,30,情報通信機械器具製造業,～19歳,16.8405,20.3365,222.4224
2010,E,製造業,30,情報通信機械器具製造業,20～24歳,18.8539,41.2084,267.4556
2010,E,製造業,30,情報通信機械器具製造業,25～29歳,22.0868,57.5066,322.5477
2010,E,製造業,30,情報通信機械器具製造業,30～34歳,27.2098,84.716,411.2335
2010,E,製造業,30,情報通信機械器具製造業,35～39歳,29.5547,98.1504,452.8064
2010,E,製造業,30,情報通信機械器具製造業,40～44歳,34.9288,119.7364,538.8819
2010,E,製造業,30,情報通信機械器具製造業,45～49歳,38.9278,140.2015,607.3353
2010,E,製造業,30,情報通信機械器具製造業,50～54歳,43.29,156.1033,675.5833
2010,E,製造業,30,情報通信機械器具製造業,55～59歳,39.6807,128.3946,604.5624
2010,E,製造業,30,情報通信機械器具製造業,60～64歳,27.8396,74.2982,408.373
2010,E,製造業,30,情報通信機械器具製造業,65～69歳,24.0861,42.7406,331.7739
2010,E,製造業,30,情報通信機械器具製造業,70歳～,21.2817,0.0796,255.4604
2010,E,製造業,31,輸送用機械器具製造業,年齢計,31.5877,107.0772,486.1294
2010,E,製造業,31,輸送用機械器具製造業,～19歳,17.6994,19.9342,232.3275
2010,E,製造業,31,輸送用機械器具製造業,20～24歳,19.5116,53.8951,288.0341
2010,E,製造業,31,輸送用機械器具製造業,25～29歳,23.1528,69.0124,346.8461
2010,E,製造業,31,輸送用機械器具製造業,30～34歳,26.4679,80.1669,397.7814
2010,E,製造業,31,輸送用機械器具製造業,35～39歳,30.3875,100.2429,464.8932
2010,E,製造業,31,輸送用機械器具製造業,40～44歳,35.0825,119.4925,540.4821
2010,E,製造業,31,輸送用機械器具製造業,45～49歳,41.0035,160.1924,652.234
2010,E,製造業,31,輸送用機械器具製造業,50～54歳,41.9236,156.3976,659.4802
2010,E,製造業,31,輸送用機械器具製造業,55～59歳,41.1585,154.035,647.9375
2010,E,製造業,31,輸送用機械器具製造業,60～64歳,26.0216,77.3661,389.625
2010,E,製造業,31,輸送用機械器具製造業,65～69歳,21.0601,26.5322,279.2538
2010,E,製造業,31,輸送用機械器具製造業,70歳～,22.9927,34.121,310.0328
2010,E,製造業,32,その他の製造業,年齢計,28.748,69.447,414.423
2010,E,製造業,32,その他の製造業,～19歳,16.4988,30.851,228.8362
2010,E,製造業,32,その他の製造業,20～24歳,19.3692,47.4795,279.9104
2010,E,製造業,32,その他の製造業,25～29歳,22.4714,52.2505,321.9076
2010,E,製造業,32,その他の製造業,30～34歳,25.6227,62.122,369.5945
2010,E,製造業,32,その他の製造業,35～39歳,29.2809,72.3326,423.7035
2010,E,製造業,32,その他の製造業,40～44歳,32.2352,78.0041,464.8271
2010,E,製造業,32,その他の製造業,45～49歳,34.4237,87.7368,500.8218
2010,E,製造業,32,その他の製造業,50～54歳,34.3019,98.5505,510.1736
2010,E,製造業,32,その他の製造業,55～59歳,32.32,73.1098,460.9495
2010,E,製造業,32,その他の製造業,60～64歳,23.5439,37.7632,320.2906
2010,E,製造業,32,その他の製造業,65～69歳,24.7074,34.0792,330.5681
2010,E,製造業,32,その他の製造業,70歳～,19.6026,40.0538,275.2848
2010,G,情報通信業,39,情報サービス業,年齢計,34.7579,104.1688,521.264
2010,G,情報通信業,39,情報サービス業,～19歳,17.8134,5.4682,219.2294
2010,G,情報通信業,39,情報サービス業,20～24歳,22.2217,34.2175,300.8775
2010,G,情報通信業,39,情報サービス業,25～29歳,24.9071,63.5639,362.4494
2010,G,情報通信業,39,情報サービス業,30～34歳,30.5323,85.92,452.3074
2010,G,情報通信業,39,情報サービス業,35～39歳,36.9137,107.1557,550.1203
2010,G,情報通信業,39,情報サービス業,40～44歳,39.9683,138.3039,617.9238
2010,G,情報通信業,39,情報サービス業,45～49歳,45.5933,157.1416,704.2614
2010,G,情報通信業,39,情報サービス業,50～54歳,52.605,186.3524,817.6122
2010,G,情報通信業,39,情報サービス業,55～59歳,47.8012,158.1112,731.726
2010,G,情報通信業,39,情報サービス業,60～64歳,35.7834,85.9335,515.3346
2010,G,情報通信業,39,情報サービス業,65～69歳,54.8667,8.3014,666.7023
2010,G,情報通信業,39,情報サービス業,70歳～,0,0,0
2010,I,卸売業，小売業,I1,卸売業,年齢計,32.3656,89.8537,478.241
2010,I,卸売業，小売業,I1,卸売業,～19歳,16.9527,7.2723,210.7041
2010,I,卸売業，小売業,I1,卸売業,20～24歳,19.9041,36.4306,275.2797
2010,I,卸売業，小売業,I1,卸売業,25～29歳,23.2685,58.2857,337.5074
2010,I,卸売業，小売業,I1,卸売業,30～34歳,27.8435,79.2573,413.3794
2010,I,卸売業，小売業,I1,卸売業,35～39歳,31.5776,90.2431,469.1745
2010,I,卸売業，小売業,I1,卸売業,40～44歳,36.3106,109.2483,544.9757
2010,I,卸売業，小売業,I1,卸売業,45～49歳,39.4991,124.3098,598.2995
2010,I,卸売業，小売業,I1,卸売業,50～54歳,41.7381,118.6652,619.5221
2010,I,卸売業，小売業,I1,卸売業,55～59歳,40.7689,114.6426,603.8693
2010,I,卸売業，小売業,I1,卸売業,60～64歳,28.113,43.2803,380.6358
2010,I,卸売業，小売業,I1,卸売業,65～69歳,25.0487,35.7714,336.3558
2010,I,卸売業，小売業,I1,卸売業,70歳～,22.6065,19.5109,290.7888
2010,I,卸売業，小売業,I2,小売業,年齢計,26.5324,54.2676,372.6561
2010,I,卸売業，小売業,I2,小売業,～19歳,17.0018,8.2773,212.2986
2010,I,卸売業，小売業,I2,小売業,20～24歳,19.386,22.7345,255.3666
2010,I,卸売業，小売業,I2,小売業,25～29歳,22.2268,41.709,308.4301
2010,I,卸売業，小売業,I2,小売業,30～34歳,25.8655,50.7888,361.1754
2010,I,卸売業，小売業,I2,小売業,35～39歳,28.1328,65.293,402.8866
2010,I,卸売業，小売業,I2,小売業,40～44歳,30.1198,70.2141,431.6519
2010,I,卸売業，小売業,I2,小売業,45～49歳,32.5866,77.897,468.9361
2010,I,卸売業，小売業,I2,小売業,50～54歳,31.3754,71.5479,448.053
2010,I,卸売業，小売業,I2,小売業,55～59歳,29.8632,62.0107,420.3686
2010,I,卸売業，小売業,I2,小売業,60～64歳,22.9816,32.2036,307.9831
2010,I,卸売業，小売業,I2,小売業,65～69歳,19.666,12.9028,248.8944
2010,I,卸売業，小売業,I2,小売業,70歳～,23.2107,34.1557,312.6842
