集計年,都道府県コード,都道府県名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,03,岩手県,65～69歳,20.75,20.85,269.85
2010,03,岩手県,70歳～,24.15,34.91,324.71
2010,04,宮城県,年齢計,26.08,59.55,372.51
2010,04,宮城県,～19歳,16.81,10.47,212.19
2010,04,宮城県,20～24歳,17.6,24.26,235.46
2010,04,宮城県,25～29歳,20.58,38.47,285.43
2010,04,宮城県,30～34歳,23.48,50.16,331.92
2010,04,宮城県,35～39歳,27.09,62.38,387.46
2010,04,宮城県,40～44歳,29.42,80.86,433.9
2010,04,宮城県,45～49歳,32.03,92.42,476.78
2010,04,宮城県,50～54歳,31.69,81.04,461.32
2010,04,宮城県,55～59歳,28.85,64.54,410.74
2010,04,宮城県,60～64歳,25.4,46.89,351.69
2010,04,宮城県,65～69歳,19.52,31.06,265.3
2010,04,宮城県,70歳～,17.96,21.57,237.09
2010,05,秋田県,年齢計,22.72,45.76,318.4
2010,05,秋田県,～19歳,14.8,9.35,186.95
2010,05,秋田県,20～24歳,16.68,26.62,226.78
2010,05,秋田県,25～29歳,18.46,33.13,254.65
2010,05,秋田県,30～34歳,20.56,39.09,285.81
2010,05,秋田県,35～39歳,22.98,48.63,324.39
2010,05,秋田県,40～44歳,24.09,51.55,340.63
2010,05,秋田県,45～49歳,25.88,58.87,369.43
2010,05,秋田県,50～54歳,26.34,60.1,376.18
2010,05,秋田県,55～59歳,25,49.43,349.43
2010,05,秋田県,60～64歳,19.44,24.47,257.75
2010,05,秋田県,65～69歳,17.31,7.36,215.08
2010,05,秋田県,70歳～,31.43,31.11,408.27
2010,06,山形県,年齢計,23.38,46.02,326.58
2010,06,山形県,～19歳,15.49,7.68,193.56
2010,06,山形県,20～24歳,17.09,24.76,229.84
2010,06,山形県,25～29歳,18.92,33.69,260.73
2010,06,山形県,30～34歳,21.63,44.54,304.1
2010,06,山形県,35～39歳,23.33,48.23,328.19
2010,06,山形県,40～44歳,24.73,52.19,348.95
2010,06,山形県,45～49歳,27.48,58.66,388.42
2010,06,山形県,50～54歳,27.21,59.51,386.03
2010,06,山形県,55～59歳,24.95,46.69,346.09
2010,06,山形県,60～64歳,21.19,27.63,281.91
2010,06,山形県,65～69歳,19.82,26.36,264.2
2010,06,山形県,70歳～,20.02,22.26,262.5
2010,07,福島県,年齢計,25.18,53.25,355.41
2010,07,福島県,～19歳,15.92,12.7,203.74
2010,07,福島県,20～24歳,17.93,28.96,244.12
2010,07,福島県,25～29歳,20.04,39.95,280.43
2010,07,福島県,30～34歳,23.44,53,334.28
2010,07,福島県,35～39歳,25.91,58.74,369.66
2010,07,福島県,40～44歳,27.85,65.74,399.94
2010,07,福島県,45～49歳,28.69,66.4,410.68
2010,07,福島県,50～54歳,29.04,62.98,411.46
2010,07,福島県,55～59歳,27.87,56.07,390.51
2010,07,福島県,60～64歳,21.64,34.27,293.95
2010,07,福島県,65～69歳,22.56,27.75,298.47
2010,07,福島県,70歳～,58.99,39.66,747.54
2010,08,茨城県,年齢計,29.17,78.9,428.94
2010,08,茨城県,～19歳,17.84,13.09,227.17
2010,08,茨城県,20～24歳,19.23,38.56,269.32
2010,08,茨城県,25～29歳,22.65,53.82,325.62
2010,08,茨城県,30～34歳,25.78,64.64,374
2010,08,茨城県,35～39歳,29.35,78.34,430.54
2010,08,茨城県,40～44歳,33.37,99.46,499.9
2010,08,茨城県,45～49歳,35.52,109.09,535.33
2010,08,茨城県,50～54歳,35.34,106.44,530.52
2010,08,茨城県,55～59歳,33.4,95.7,496.5
2010,08,茨城県,60～64歳,25.09,49.69,350.77
2010,08,茨城県,65～69歳,19.87,29.08,267.52
2010,08,茨城県,70歳～,26.16,37.7,351.62
2010,09,栃木県,年齢計,27.91,71.66,406.58
2010,09,栃木県,～19歳,16.8,12.31,213.91
2010,09,栃木県,20～24歳,18.91,33.78,260.7
2010,09,栃木県,25～29歳,22.1,53.72,318.92
2010,09,栃木県,30～34歳,25.37,62.84,367.28
2010,09,栃木県,35～39歳,28.51,74.45,416.57
2010,09,栃木県,40～44歳,31.9,91.22,474.02
2010,09,栃木県,45～49歳,34.59,101.98,517.06
2010,09,栃木県,50～54歳,33.69,97.06,501.34
2010,09,栃木県,55～59歳,31.8,83.86,465.46
2010,09,栃木県,60～64歳,23.31,35.89,315.61
2010,09,栃木県,65～69歳,19.45,17.96,251.36
2010,09,栃木県,70歳～,30.26,67.91,431.03
2010,10,群馬県,年齢計,27.25,65.91,392.91
2010,10,群馬県,～19歳,16.93,13.54,216.7
2010,10,群馬県,20～24歳,19.09,36.93,266.01
2010,10,群馬県,25～29歳,21.77,52.59,313.83
2010,10,群馬県,30～34歳,24.96,62.68,362.2
2010,10,群馬県,35～39歳,27.38,71.94,400.5
2010,10,群馬県,40～44歳,30.27,80.25,443.49
2010,10,群馬県,45～49歳,32.07,83.63,468.47
2010,10,群馬県,50～54歳,32.96,83.08,478.6
2010,10,群馬県,55～59歳,30.78,71.91,441.27
2010,10,群馬県,60～64歳,23.18,35.26,313.42
2010,10,群馬県,65～69歳,24.16,30.21,320.13
2010,10,群馬県,70歳～,23.3,34.6,314.2
2010,11,埼玉県,年齢計,29.13,70.55,420.11
2010,11,埼玉県,～19歳,17.68,11.84,224
2010,11,埼玉県,20～24歳,19.45,37.5,270.9
2010,11,埼玉県,25～29歳,22.84,51.97,326.05
2010,11,埼玉県,30～34歳,26.17,59.62,373.66
2010,11,埼玉県,35～39歳,29.57,75.45,430.29
2010,11,埼玉県,40～44歳,31.94,81.54,464.82
2010,11,埼玉県,45～49歳,35.44,97.39,522.67
2010,11,埼玉県,50～54歳,35.85,99.08,529.28
2010,11,埼玉県,55～59歳,33.98,85.67,493.43
2010,11,埼玉県,60～64歳,24.8,35.34,332.94
2010,11,埼玉県,65～69歳,27.34,34.78,362.86
2010,11,埼玉県,70歳～,21.13,25.73,279.29
2010,12,千葉県,年齢計,29.32,75.58,427.42
2010,12,千葉県,～19歳,17.48,17.14,226.9
2010,12,千葉県,20～24歳,20.28,35.08,278.44
2010,12,千葉県,25～29歳,23.83,56.23,342.19
2010,12,千葉県,30～34歳,27.1,66.88,392.08
2010,12,千葉県,35～39歳,30.01,78.43,438.55
2010,12,千葉県,40～44歳,32.44,87.45,476.73
2010,12,千葉県,45～49歳,34.44,104.23,517.51
2010,12,千葉県,50～54歳,37.3,115.96,563.56
2010,12,千葉県,55～59歳,34.19,92.96,503.24
2010,12,千葉県,60～64歳,26.55,50.51,369.11
2010,12,千葉県,65～69歳,22.72,26,298.64
2010,12,千葉県,70歳～,19.87,20.07,258.51
2010,13,東京都,年齢計,35.96,98.12,529.64
2010,13,東京都,～19歳,17.67,8.81,220.85
2010,13,東京都,20～24歳,21.71,33.34,293.86
2010,13,東京都,25～29歳,25.44,58.28,363.56
2010,13,東京都,30～34歳,31.23,78.89,453.65
2010,13,東京都,35～39歳,35.58,96.43,523.39
2010,13,東京都,40～44歳,41.14,125.41,619.09
2010,13,東京都,45～49歳,46.56,148.13,706.85
2010,13,東京都,50～54歳,48.52,149.74,731.98
2010,13,東京都,55～59歳,45.16,131.44,673.36
2010,13,東京都,60～64歳,33.72,74.69,479.33
2010,13,東京都,65～69歳,32.34,50.52,438.6
2010,13,東京都,70歳～,24.04,26.68,315.16
2010,14,神奈川県,年齢計,32.07,83.55,468.39
2010,14,神奈川県,～19歳,17.86,14,228.32
2010,14,神奈川県,20～24歳,20.65,36.03,283.83
2010,14,神奈川県,25～29歳,24.21,58.85,349.37
2010,14,神奈川県,30～34歳,27.54,72.6,403.08
2010,14,神奈川県,35～39歳,32,85.53,469.53
2010,14,神奈川県,40～44歳,36.18,102.62,536.78
2010,14,神奈川県,45～49歳,40.85,115.17,605.37
2010,14,神奈川県,50～54歳,40.16,117.47,599.39
2010,14,神奈川県,55～59歳,37.31,102.16,549.88
2010,14,神奈川県,60～64歳,29.01,49.87,397.99
2010,14,神奈川県,65～69歳,25.56,35.33,342.05
2010,14,神奈川県,70歳～,26.46,32.57,350.09
2010,15,新潟県,年齢計,25.98,61.32,373.08
2010,15,新潟県,～19歳,16.55,10.71,209.31
2010,15,新潟県,20～24歳,17.84,28.71,242.79
2010,15,新潟県,25～29歳,20.37,42.59,287.03
2010,15,新潟県,30～34歳,22.76,50.86,323.98
2010,15,新潟県,35～39歳,25.77,63.48,372.72
2010,15,新潟県,40～44歳,28.56,74.24,416.96
2010,15,新潟県,45～49歳,29.83,76.43,434.39
2010,15,新潟県,50～54歳,31.47,86.12,463.76
2010,15,新潟県,55～59歳,30.38,73.03,437.59
2010,15,新潟県,60～64歳,24.01,40.17,328.29
2010,15,新潟県,65～69歳,21.71,25.09,285.61
2010,15,新潟県,70歳～,32.17,52.15,438.19
2010,16,富山県,年齢計,26.57,62.46,381.3
2010,16,富山県,～19歳,17.3,9.64,217.24
2010,16,富山県,20～24歳,18.97,30.66,258.3
2010,16,富山県,25～29歳,21.23,47.5,302.26
2010,16,富山県,30～34歳,23.38,56.66,337.22
2010,16,富山県,35～39歳,26.4,64.38,381.18
2010,16,富山県,40～44歳,29.73,71.72,428.48
2010,16,富山県,45～49歳,31.49,80.94,458.82
2010,16,富山県,50～54歳,32.78,85.96,479.32
2010,16,富山県,55～59歳,31.11,77.88,451.2
2010,16,富山県,60～64歳,24.11,43.94,333.26
2010,16,富山県,65～69歳,21.7,24.84,285.24
2010,16,富山県,70歳～,19.23,25.62,256.38
2010,17,石川県,年齢計,26.62,64.23,383.67
2010,17,石川県,～19歳,16.81,17.43,219.15
2010,17,石川県,20～24歳,18.87,33.59,260.03
2010,17,石川県,25～29歳,21.56,52.5,311.22
2010,17,石川県,30～34歳,24.48,59.07,352.83
2010,17,石川県,35～39歳,26.95,68.62,392.02
2010,17,石川県,40～44歳,29.46,78.43,431.95
2010,17,石川県,45～49歳,30.61,80.99,448.31
2010,17,石川県,50～54歳,31.38,80.47,457.03
2010,17,石川県,55～59歳,31.16,72.73,446.65
2010,17,石川県,60～64歳,22.91,40.68,315.6
2010,17,石川県,65～69歳,25.8,38.86,348.46
2010,17,石川県,70歳～,19.24,14.96,245.84
2010,18,福井県,年齢計,26.61,62.91,382.23
2010,18,福井県,～19歳,16.63,12.7,212.26
2010,18,福井県,20～24歳,18.63,31.88,255.44
2010,18,福井県,25～29歳,21.62,53.11,312.55
2010,18,福井県,30～34歳,24.37,58.13,350.57
2010,18,福井県,35～39歳,26.77,66.09,387.33
2010,18,福井県,40～44歳,29.15,71.28,421.08
2010,18,福井県,45～49歳,32.31,85.3,473.02
2010,18,福井県,50～54歳,32.4,85.01,473.81
2010,18,福井県,55～59歳,29.37,68.56,421
2010,18,福井県,60～64歳,22.11,29.77,295.09
2010,18,福井県,65～69歳,19.15,24.59,254.39
2010,18,福井県,70歳～,19.54,7.25,241.73
2010,19,山梨県,年齢計,27.29,61.85,389.33
2010,19,山梨県,～19歳,16.75,9.19,210.19
2010,19,山梨県,20～24歳,19.09,28.11,257.19
2010,19,山梨県,25～29歳,21.79,47.72,309.2
2010,19,山梨県,30～34歳,24.59,56.7,351.78
2010,19,山梨県,35～39歳,28.54,63.91,406.39
2010,19,山梨県,40～44歳,30.84,78.12,448.2
2010,19,山梨県,45～49歳,31.56,82.42,461.14
2010,19,山梨県,50～54歳,31.11,74.95,448.27
2010,19,山梨県,55～59歳,30.72,71.02,439.66
2010,19,山梨県,60～64歳,24.98,36.12,335.88
2010,19,山梨県,65～69歳,20.1,20.6,261.8
2010,19,山梨県,70歳～,25.28,35.6,338.96
2010,20,長野県,年齢計,27.19,61.84,388.12
2010,20,長野県,～19歳,16.75,11.49,212.49
2010,20,長野県,20～24歳,18.78,31.12,256.48
2010,20,長野県,25～29歳,21.65,47.82,307.62
2010,20,長野県,30～34歳,25.25,56.53,359.53
2010,20,長野県,35～39歳,28.18,65.27,403.43
2010,20,長野県,40～44歳,29.6,72.53,427.73
2010,20,長野県,45～49歳,32.13,78.22,463.78
2010,20,長野県,50～54歳,33,82.19,478.19
2010,20,長野県,55～59歳,30.8,73.85,443.45
2010,20,長野県,60～64歳,22.63,38.81,310.37
2010,20,長野県,65～69歳,21.99,27.94,291.82
2010,20,長野県,70歳～,22.72,40.67,313.31
2010,21,岐阜県,年齢計,27.86,63.89,398.21
2010,21,岐阜県,～19歳,16.64,11.71,211.39
2010,21,岐阜県,20～24歳,19.2,31.86,262.26
2010,21,岐阜県,25～29歳,22.64,51.35,323.03
2010,21,岐阜県,30～34歳,25.86,59.69,370.01
2010,21,岐阜県,35～39歳,28.87,67.62,414.06
2010,21,岐阜県,40～44歳,30.8,79.81,449.41
2010,21,岐阜県,45～49歳,32.5,83.03,473.03
2010,21,岐阜県,50～54歳,32.83,86.29,480.25
2010,21,岐阜県,55～59歳,32.12,71.81,457.25
2010,21,岐阜県,60～64歳,24.15,38.39,328.19
2010,21,岐阜県,65～69歳,30.77,34.39,403.63
2010,21,岐阜県,70歳～,24.48,22.65,316.41
2010,22,静岡県,年齢計,28.07,75.77,412.61
2010,22,静岡県,～19歳,16.97,9.17,212.81
2010,22,静岡県,20～24歳,19.12,39.92,269.36
2010,22,静岡県,25～29歳,22.2,58.23,324.63
2010,22,静岡県,30～34歳,25.21,64.64,367.16
2010,22,静岡県,35～39歳,28.68,80.07,424.23
2010,22,静岡県,40～44歳,30.65,83.86,451.66
2010,22,静岡県,45～49歳,33.76,101.91,507.03
2010,22,静岡県,50～54歳,34.92,107.21,526.25
2010,22,静岡県,55～59歳,33.1,92.38,489.58
2010,22,静岡県,60～64歳,25.36,51.74,356.06
2010,22,静岡県,65～69歳,22.56,39.86,310.58
2010,22,静岡県,70歳～,22.53,34.41,304.77
2010,23,愛知県,年齢計,30.69,92.58,460.86
2010,23,愛知県,～19歳,17.48,18.95,228.71
2010,23,愛知県,20～24歳,20.14,42.16,283.84
2010,23,愛知県,25～29歳,23.82,65.39,351.23
2010,23,愛知県,30～34歳,27.39,79.63,408.31
2010,23,愛知県,35～39歳,30.65,91.4,459.2
2010,23,愛知県,40～44歳,34.46,111.36,524.88
2010,23,愛知県,45～49歳,38.6,132.84,596.04
2010,23,愛知県,50～54歳,39.1,134.46,603.66
2010,23,愛知県,55～59歳,39.38,126.73,599.29
2010,23,愛知県,60～64歳,26.68,66.28,386.44
2010,23,愛知県,65～69歳,25.47,39.66,345.3
2010,23,愛知県,70歳～,23.19,38.82,317.1
2010,24,三重県,年齢計,29.16,81.68,431.6
2010,24,三重県,～19歳,17.44,14.34,223.62
2010,24,三重県,20～24歳,19.55,40.7,275.3
2010,24,三重県,25～29歳,22.77,60.4,333.64
2010,24,三重県,30～34歳,26.38,74.93,391.49
2010,24,三重県,35～39歳,29.87,90.09,448.53
2010,24,三重県,40～44歳,32.83,97.02,490.98
2010,24,三重県,45～49歳,36.01,110.57,542.69
2010,24,三重県,50～54歳,35.69,109.78,538.06
2010,24,三重県,55～59歳,34.14,106.57,516.25
2010,24,三重県,60～64歳,25.52,32.38,338.62
2010,24,三重県,65～69歳,22.34,25.15,293.23
2010,24,三重県,70歳～,17.51,16.85,226.97
2010,25,滋賀県,年齢計,28.58,74.9,417.86
2010,25,滋賀県,～19歳,16.98,13.48,217.24
2010,25,滋賀県,20～24歳,19.63,38.44,274
2010,25,滋賀県,25～29歳,22.71,57.65,330.17
2010,25,滋賀県,30～34歳,25.99,66.93,378.81
2010,25,滋賀県,35～39歳,29.42,84.32,437.36
2010,25,滋賀県,40～44歳,32.49,89.8,479.68
2010,25,滋賀県,45～49歳,34.81,99.85,517.57
2010,25,滋賀県,50～54歳,34.93,100.58,519.74
2010,25,滋賀県,55～59歳,32.82,83.14,476.98
2010,25,滋賀県,60～64歳,24.54,50.51,344.99
2010,25,滋賀県,65～69歳,25.78,31.18,340.54
2010,25,滋賀県,70歳～,32.26,41.05,428.17
2010,26,京都府,年齢計,28.87,71.92,418.36
2010,26,京都府,～19歳,17.79,9.48,222.96
2010,26,京都府,20～24歳,19.86,29.44,267.76
2010,26,京都府,25～29歳,22.86,55.38,329.7
2010,26,京都府,30～34歳,26.13,66.18,379.74
2010,26,京都府,35～39歳,29.3,77.31,428.91
2010,26,京都府,40～44歳,32.45,91.82,481.22
2010,26,京都府,45～49歳,36.09,103.87,536.95
2010,26,京都府,50～54歳,36.61,94.29,533.61
2010,26,京都府,55～59歳,33.53,86.53,488.89
2010,26,京都府,60～64歳,24.98,42.33,342.09
2010,26,京都府,65～69歳,21.23,28.94,283.7
2010,26,京都府,70歳～,23.06,23.83,300.55
2010,27,大阪府,年齢計,31.22,75.65,450.29
2010,27,大阪府,～19歳,17.05,7.26,211.86
2010,27,大阪府,20～24歳,20.48,30.94,276.7
2010,27,大阪府,25～29歳,23.79,51.64,337.12
2010,27,大阪府,30～34歳,27.48,67.84,397.6
2010,27,大阪府,35～39歳,31.75,80.26,461.26
2010,27,大阪府,40～44歳,35.92,91.98,523.02
2010,27,大阪府,45～49歳,37.95,101.97,557.37
2010,27,大阪府,50～54歳,39.19,109.92,580.2
2010,27,大阪府,55～59歳,38.79,97.68,563.16
2010,27,大阪府,60～64歳,27.8,51.4,385
2010,27,大阪府,65～69歳,23.99,28.39,316.27
2010,27,大阪府,70歳～,23.25,18.73,297.73
2010,28,兵庫県,年齢計,29.08,83.8,432.76
2010,28,兵庫県,～19歳,17.86,19.8,234.12
2010,28,兵庫県,20～24歳,19.46,39.94,273.46
2010,28,兵庫県,25～29歳,23.35,58.62,338.82
2010,28,兵庫県,30～34歳,26.05,71.75,384.35
2010,28,兵庫県,35～39歳,29.28,85.29,436.65
2010,28,兵庫県,40～44歳,32.36,102.86,491.18
2010,28,兵庫県,45～49歳,34.44,113.81,527.09
2010,28,兵庫県,50～54歳,36.24,113.81,548.69
2010,28,兵庫県,55～59歳,35.04,106.11,526.59
2010,28,兵庫県,60～64歳,25.77,64.63,373.87
2010,28,兵庫県,65～69歳,21.7,29.89,290.29
2010,28,兵庫県,70歳～,23.2,32.44,310.84
2010,29,奈良県,年齢計,27.4,67.46,396.26
2010,29,奈良県,～19歳,16.28,13.91,209.27
2010,29,奈良県,20～24歳,18.34,27.41,247.49
2010,29,奈良県,25～29歳,21.86,49.94,312.26
2010,29,奈良県,30～34歳,25.74,62.49,371.37
2010,29,奈良県,35～39歳,28.55,74.88,417.48
2010,29,奈良県,40～44歳,29.31,78.5,430.22
2010,29,奈良県,45～49歳,33.38,89.64,490.2
2010,29,奈良県,50～54歳,33.2,91.97,490.37
2010,29,奈良県,55～59歳,29.29,72.99,424.47
2010,29,奈良県,60～64歳,26.23,55.84,370.6
2010,29,奈良県,65～69歳,20.78,26.87,276.23
2010,29,奈良県,70歳～,31.96,20.81,404.33
2010,30,和歌山県,年齢計,26.37,67.56,384
2010,30,和歌山県,～19歳,16.4,16.95,213.75
2010,30,和歌山県,20～24歳,18.97,36.58,264.22
2010,30,和歌山県,25～29歳,21.2,52.75,307.15
2010,30,和歌山県,30～34歳,23.52,57.61,339.85
2010,30,和歌山県,35～39歳,26.91,70.03,392.95
2010,30,和歌山県,40～44歳,28.73,77.84,422.6
2010,30,和歌山県,45～49歳,31.85,84.93,467.13
2010,30,和歌山県,50～54歳,32.05,91.62,476.22
2010,30,和歌山県,55～59歳,30.24,83.71,446.59
2010,30,和歌山県,60～64歳,24.15,57.15,346.95
2010,30,和歌山県,65～69歳,18.42,23.24,244.28
2010,30,和歌山県,70歳～,27.78,40.98,374.34
2010,31,鳥取県,年齢計,23.61,49.82,333.14
2010,31,鳥取県,～19歳,15.48,6.06,191.82
2010,31,鳥取県,20～24歳,17.24,23.42,230.3
2010,31,鳥取県,25～29歳,19.82,37.39,275.23
2010,31,鳥取県,30～34歳,21.03,44.88,297.24
2010,31,鳥取県,35～39歳,23.81,51.8,337.52
2010,31,鳥取県,40～44歳,26.28,64.01,379.37
2010,31,鳥取県,45～49歳,26.99,65.33,389.21
2010,31,鳥取県,50～54歳,28.71,69.65,414.17
2010,31,鳥取県,55～59歳,26.1,54.72,367.92
2010,31,鳥取県,60～64歳,21.89,29.25,291.93
2010,31,鳥取県,65～69歳,18.85,25.27,251.47
2010,31,鳥取県,70歳～,26.56,8.56,327.28
2010,32,島根県,年齢計,23.99,53.14,341.02
2010,32,島根県,～19歳,15.57,9.79,196.63
2010,32,島根県,20～24歳,17.84,27.73,241.81
2010,32,島根県,25～29歳,19.93,41.57,280.73
2010,32,島根県,30～34歳,21.46,44.24,301.76
2010,32,島根県,35～39歳,24.18,58.26,348.42
2010,32,島根県,40～44歳,25.48,64.45,370.21
2010,32,島根県,45～49歳,27.55,71.38,401.98
2010,32,島根県,50～54歳,28.6,70.34,413.54
2010,32,島根県,55～59歳,27.7,59.87,392.27
2010,32,島根県,60～64歳,22.03,29.5,293.86
2010,32,島根県,65～69歳,18.6,20.35,243.55
2010,32,島根県,70歳～,18.48,27.1,248.86
2010,33,岡山県,年齢計,26.48,65.71,383.47
2010,33,岡山県,～19歳,16.62,14.87,214.31
2010,33,岡山県,20～24歳,18.98,31.65,259.41
2010,33,岡山県,25～29歳,21.3,48.94,304.54
2010,33,岡山県,30～34歳,24.18,56.75,346.91
2010,33,岡山県,35～39歳,26.88,69.39,391.95
2010,33,岡山県,40～44歳,29.42,77.24,430.28
2010,33,岡山県,45～49歳,31.02,91.2,463.44
2010,33,岡山県,50～54歳,31.82,90.82,472.66
2010,33,岡山県,55～59歳,30.37,77.5,441.94
2010,33,岡山県,60～64歳,23.19,43.22,321.5
2010,33,岡山県,65～69歳,28.8,36.24,381.84
2010,33,岡山県,70歳～,28.19,23.77,362.05
2010,34,広島県,年齢計,27.65,73.5,405.3
2010,34,広島県,～19歳,16.63,16,215.56
2010,34,広島県,20～24歳,18.57,34.46,257.3
2010,34,広島県,25～29歳,21.52,53.66,311.9
2010,34,広島県,30～34歳,23.81,60.82,346.54
2010,34,広島県,35～39歳,27.49,73.11,402.99
2010,34,広島県,40～44歳,30.74,89.51,458.39
2010,34,広島県,45～49歳,34.21,99.5,510.02
2010,34,広島県,50～54歳,34.41,101.57,514.49
2010,34,広島県,55～59歳,32.64,92.95,484.63
2010,34,広島県,60～64歳,24.93,50.82,349.98
2010,34,広島県,65～69歳,19.88,31.24,269.8
2010,34,広島県,70歳～,34.48,46.2,459.96
2010,35,山口県,年齢計,27.08,71.74,396.7
2010,35,山口県,～19歳,16.55,15.61,214.21
2010,35,山口県,20～24歳,18.84,39.62,265.7
2010,35,山口県,25～29歳,21.38,57.03,313.59
2010,35,山口県,30～34歳,22.96,57.86,333.38
2010,35,山口県,35～39歳,26.67,74.97,395.01
2010,35,山口県,40～44歳,30.84,81.73,451.81
2010,35,山口県,45～49歳,31.92,93.95,476.99
2010,35,山口県,50～54歳,35.02,94.6,514.84
2010,35,山口県,55～59歳,31.59,94.82,473.9
2010,35,山口県,60～64歳,23.03,43.86,320.22
2010,35,山口県,65～69歳,19.13,32.47,262.03
2010,35,山口県,70歳～,18.65,31.94,255.74
2010,36,徳島県,年齢計,26.17,67.09,381.13
2010,36,徳島県,～19歳,16.18,8.98,203.14
2010,36,徳島県,20～24歳,17.88,27.17,241.73
2010,36,徳島県,25～29歳,20.58,44.84,291.8
2010,36,徳島県,30～34歳,23.02,54.48,330.72
2010,36,徳島県,35～39歳,26.5,66.43,384.43
2010,36,徳島県,40～44歳,28.68,81.93,426.09
2010,36,徳島県,45～49歳,29.54,84.26,438.74
2010,36,徳島県,50～54歳,32.84,98.33,492.41
2010,36,徳島県,55～59歳,30.4,92.17,456.97
2010,36,徳島県,60～64歳,24.3,43.79,335.39
2010,36,徳島県,65～69歳,26.88,42.76,365.32
2010,36,徳島県,70歳～,28.49,39.58,381.46
2010,37,香川県,年齢計,26.42,66.23,383.27
2010,37,香川県,～19歳,16.6,15.3,214.5
2010,37,香川県,20～24歳,18.58,29.43,252.39
2010,37,香川県,25～29歳,20.93,48.03,299.19
2010,37,香川県,30～34歳,24.02,61.23,349.47
2010,37,香川県,35～39歳,26.62,68.09,387.53
2010,37,香川県,40～44歳,29.58,84.04,439
2010,37,香川県,45～49歳,30.44,83.63,448.91
2010,37,香川県,50～54歳,32.32,90.62,478.46
2010,37,香川県,55～59歳,31.21,81.87,456.39
2010,37,香川県,60～64歳,23.31,40.8,320.52
2010,37,香川県,65～69歳,22.09,23.2,288.28
2010,37,香川県,70歳～,24.49,60.78,354.66
2010,38,愛媛県,年齢計,25.99,66.21,378.09
2010,38,愛媛県,～19歳,15.95,8.82,200.22
2010,38,愛媛県,20～24歳,17.9,34.17,248.97
2010,38,愛媛県,25～29歳,20.78,51.02,300.38
2010,38,愛媛県,30～34歳,23.78,60.68,346.04
2010,38,愛媛県,35～39歳,27.34,73.01,401.09
2010,38,愛媛県,40～44歳,29.47,80.79,434.43
2010,38,愛媛県,45～49歳,30.08,85.92,446.88
2010,38,愛媛県,50～54歳,30.29,81.26,444.74
2010,38,愛媛県,55～59歳,28.78,73.34,418.7
2010,38,愛媛県,60～64歳,23.06,42.06,318.78
2010,38,愛媛県,65～69歳,19.84,23.53,261.61
2010,38,愛媛県,70歳～,24.39,47.9,340.58
2010,39,高知県,年齢計,23.65,51.69,335.49
2010,39,高知県,～19歳,14.69,8.89,185.17
2010,39,高知県,20～24歳,17.12,27.44,232.88
2010,39,高知県,25～29歳,19.16,37.51,267.43
2010,39,高知県,30～34歳,21.34,44.55,300.63
2010,39,高知県,35～39歳,22.89,51.35,326.03
2010,39,高知県,40～44歳,24.31,57.22,348.94
2010,39,高知県,45～49歳,27.99,67.62,403.5
2010,39,高知県,50～54歳,28.69,69.35,413.63
2010,39,高知県,55～59歳,26.58,60.24,379.2
